386183914429810, 203234597957945, 537104238090859 @ 6, 106, -164
191853805235172, 96933297552275, 142797538377781 @ 205, 517, 229
447902097938436, 262258252263185, 255543483328939 @ -136, 38, 89
348809145017052, 223928559740138, 293883056800888 @ -112, 99, -70
259305373591262, 323676876120897, 279139888221037 @ 133, -22, 94
331296830875471, 299479348395869, 225858293640676 @ 69, 10, 160
280761666456810, 405119910828575, 63496246448680 @ 6, -304, 412
517557775415046, 258029729778873, 521504517642081 @ -157, 48, -181
272083044427813, 222499798799301, 288621620613914 @ 63, 98, -22
233786142886000, 241468118092245, 219319444178305 @ 21, 56, -113
201895615785768, 230834417749273, 374012189931689 @ 167, 98, -645
225438217322018, 15337614530169, 434473341703033 @ 114, 675, -560
309203622769858, 266191680021297, 459191860708593 @ 88, 42, -76
372868059967440, 356862574197139, 375054481576155 @ -31, -85, -64
297921162499986, 234644220204383, 344634603844375 @ -58, 79, -268
363633412312501, 326480838944207, 358495660133969 @ 7, -32, -9
210841289893910, 232280136023789, 167060070371365 @ 148, 88, 157
246119440981683, 305960223328391, 127911301891576 @ -73, -276, 294
323307803653692, 383087675556191, 341502094289045 @ -97, -263, -223
375815330355055, 354793141717139, 387413058821165 @ -221, -200, -333
331766662956063, 213479055977873, 339314829600958 @ 25, 102, -14
363863161956490, 262039973241169, 226982776834430 @ -26, 38, 126
203462312495783, 246574518197688, 153900561143472 @ 15, -63, -22
368809468722300, 315543279175559, 352559575391479 @ 11, -15, 10
226305914189598, 207627684171425, 247009277277283 @ 88, 174, -126
217953380151369, 162614125152554, 347919294441031 @ 103, 365, -575
372745306340370, 506476347881289, 324624498353745 @ -196, -525, -169
390869504651475, 283142180285469, 251872936335860 @ -25, 18, 114
252445971986433, 248594382660659, 234146525308183 @ 29, 40, -35
433927391440949, 297255516804081, 316824746537200 @ -57, 6, 52
446104016725566, 202914487226334, 334091997141700 @ -46, 105, 52
419349507564770, 263507579026369, 227821604645985 @ -128, 33, 114
383433654119394, 361545920113961, 290137109614513 @ -110, -133, -5
196882859200254, 222752477299529, 180385336163389 @ 113, 340, -506
292691399854368, 143417381719727, 115055264642479 @ -83, 341, 310
309908324195682, 239167679903785, 251441435411605 @ -58, 68, -8
386466942448336, 422114232708423, 242423357693989 @ -5, -129, 133
296693505518886, 218048645200559, 220691542510869 @ 50, 100, 123
328010214412501, 178770767062295, 337801091114940 @ -83, 196, -178
196205158165026, 202972626769943, 173668521970657 @ 158, 433, -129
372387570879932, 363538563015768, 507101874045999 @ -12, -81, -199
254303143888597, 253145999954568, 171572710653170 @ 33, 29, 152
194954561517714, 231935341275342, 148638289029991 @ 158, 159, 85
260378386938540, 207784303930040, 301340506259458 @ 136, 101, 80
452222471364690, 406572734966321, 243209400511633 @ -79, -114, 131
188213481456850, 243874469237473, 182504238367793 @ 241, 11, -231
198637113515466, 263457253016021, 110567483400589 @ 122, -228, 561
248858814705408, 253140867096173, 190350050811469 @ -33, 8, 25
364374018558030, 362137022274320, 416524944593614 @ 26, -59, -44
194647412318094, 214827834512825, 181241309437711 @ 180, 266, -122
457303394497104, 556093927738121, 132539667655695 @ -85, -278, 252
458228707400609, 260433626867459, 420049826580362 @ -155, 40, -136
296303053004956, 107190003246785, 143064314045497 @ -5, 334, 235
342572713749493, 335041924370232, 291758797285144 @ 39, -37, 76
533318490298149, 419013900657347, 364733512818220 @ -297, -196, -88
239865799177616, 145847686798333, 97596916444209 @ 69, 332, 359
221529694261530, 304920000102289, 29967713187863 @ 26, -330, 890
226680719143797, 183814948822965, 228604806088878 @ 95, 242, -42
364321252714161, 310034104867199, 321482241586483 @ -107, -60, -87
442125665169918, 421921079436875, 183447715971211 @ -86, -144, 193
278470847125827, 164098540239680, 195593280718485 @ -121, 349, 27
326331306804993, 312068596500635, 334401886678639 @ 27, -28, -15
404188890610643, 339056028617190, 337620941723045 @ -197, -121, -133
260807571252021, 96432447501476, 105534068518894 @ 59, 371, 314
240417115856514, 321559031235857, 244833940244785 @ 54, -189, -88
293707293718227, 258842008618679, 270132384849067 @ 57, 40, 53
233986640765697, 241573882332656, 232769315359687 @ -141, 43, -535
199118253974560, 297399926557979, 319799521611620 @ 196, -8, 6
250337867814750, 286418966296679, 229780403621890 @ -70, -156, -188
185666153509650, 216872721774577, 178728218621217 @ 251, 234, -72
283197200887023, 292922423073016, 190036274180788 @ -7, -57, 124
212098227121410, 234308730544039, 87739200391415 @ 14, 107, 708
492115152781338, 494532551989443, 481999548358767 @ -106, -196, -111
196042506716540, 294582095315814, 326311598423125 @ 196, -55, -173
177398171406588, 248482751501216, 165908657558095 @ 260, 31, 137
396566190789769, 301118887900590, 373043497860854 @ 7, 9, 18
231615834414869, 299649465981536, 213899324182427 @ 63, -149, -27
424661470385650, 328479728830041, 394555914391937 @ -24, -19, -7
162243731713440, 219333473061169, 160482016003835 @ 305, 134, 168
352328810159057, 367704509362287, 289223902463341 @ -35, -124, 19
163299381965450, 127335021871989, 271237690551275 @ 234, 180, 114
220094307606378, 224697688677261, 159845679631621 @ -118, 224, -11
324622377269262, 381672344048821, 317647435989765 @ 77, -69, 72
533962461157728, 246112722497423, 287842727709863 @ -187, 61, 74
452447456203760, 411880142915439, 357341774588365 @ -57, -105, 25
288735931917590, 379650304109169, 156040827329965 @ 52, -154, 217
350929103239650, 317630407921649, 260853069259345 @ -31, -48, 63
426434626954874, 312149831439743, 400418064588519 @ -42, -8, -31
237346845989262, 86377161738485, 318534760156942 @ 130, 322, -54
284450782250110, 449437224349189, 542545371131665 @ -14, -430, -713
293182401508130, 275117167691995, 359454063426815 @ 46, 12, -103
195235886859378, 258842576773736, 139725700190459 @ 158, -197, 213
323199639823902, 239204705331901, 281840941464725 @ -76, 68, -63
414541975676790, 460420871271489, 462641193182245 @ -55, -190, -134
383209668002770, 323534301466689, 283759085323265 @ -75, -55, 32
193283930578034, 240453828245469, 199536919861973 @ 198, 60, -39
215999655394946, 213140006407036, 158510376525809 @ -50, 333, 23
424056040026006, 340637534899769, 518787280458349 @ -112, -70, -275
343662884240610, 381839156208074, 300640755882085 @ 46, -81, 75
393165893056098, 458568496623137, 553431148391593 @ -10, -166, -199
295703420241889, 265766474951053, 194212217473621 @ 9, 18, 139
186334163164016, 268988075341331, 192497659792285 @ 237, -113, -83
269030402221410, 220835054670149, 320182802985535 @ 126, 88, 58
285725335312354, 304468906277577, 310820237018457 @ -6, -79, -144
233856184355382, 362160081091865, 318646625168113 @ 137, -132, -49
271324304145410, 356754167468993, 411971238732513 @ 6, -227, -442
369204377510025, 263904445289124, 390789479187170 @ 5, 41, -40
378166976607935, 223914827254464, 455473826802090 @ -15, 87, -130
189399837320340, 52996982745289, 27366904621805 @ 212, 590, 555
355846155064810, 440370438025823, 190506365963750 @ 6, -176, 182
224782728463650, 173997043474385, 322724647666105 @ 146, 186, -88
317135269438233, 296647307318018, 188996201314713 @ -7, -29, 159
206178730489506, 218655589676345, 180184760681209 @ 50, 279, -212
476530263795660, 369469594563689, 513208922412265 @ -185, -110, -269
199271921013378, 162585210128945, 112798266893137 @ 164, 481, 379
199679026815892, 215050704430934, 128620673477157 @ 64, 475, 395
363031677454246, 316143236575138, 224603061330965 @ 10, -19, 147
328706545597884, 327728931187259, 339877554612157 @ -47, -95, -127
327123240768507, 289057301013992, 245201847702409 @ -85, -39, 15
379242403006722, 249124610392305, 299272812776657 @ -88, 53, -7
185410639979586, 63887835066929, 220998498848209 @ 219, 440, 69
228350882847090, 184037098024964, 319857676333405 @ 94, 235, -309
248683502806502, 409020094850641, 272053008957569 @ 123, -178, 51
278853064787260, 153490445678614, 332016709944765 @ -104, 371, -445
231793183338946, 195839385677297, 184433584090033 @ 58, 226, 73
194886280274484, 223387969361249, 159058460041639 @ 188, 150, 129
329845850708422, 327968742735429, 222753031778049 @ -33, -85, 99
374252668017406, 341484016238073, 346321801104265 @ -56, -78, -53
318533855926741, 352787774835221, 238409450890951 @ 33, -86, 109
187423101856268, 252858746670047, 195831394827819 @ 217, 31, 90
247511784432570, 277814873638209, 259358134631705 @ 5, -72, -192
396377180544810, 268686504149429, 403397526958405 @ -124, 21, -182
316236571134754, 287381822883369, 114045323898337 @ -86, -45, 301
415285625415205, 19726362474359, 445149864331673 @ -9, 280, -49
198259591251690, 324792386539613, 181759226872525 @ 136, -831, -218
216667098508285, 162660092727189, 331248039329140 @ 93, 410, -626
234829815303562, 24129148962030, 296359546056467 @ 150, 347, 41
326920166123878, 218474426783430, 59197262645007 @ -6, 101, 369
259585449108287, 271166094257003, 242241608283947 @ -5, -32, -79
213013506235340, 244018001941059, 184141319522630 @ 64, 32, -64
325593716021710, 109577073828497, 278056506205361 @ 31, 238, 63
135049032635241, 137791243726976, 203092751025781 @ 319, 271, 115
303815341519827, 251963337933374, 374441124509405 @ 83, 55, -13
289616250217305, 351370621100849, 406601442712090 @ 95, -58, -58
196174360411005, 237479292407324, 147623588737000 @ 165, 77, 154
199734803814108, 271319920975973, 277239007420207 @ 143, -184, -830
232065632449360, 264418040993689, 209795052740525 @ 51, -30, -31
221062477964215, 241682171398884, 160984765122230 @ -45, 41, 44
312044998486742, 275142594618607, 391610492292299 @ 72, 29, -36
347943512604236, 236299429168808, 328341874011322 @ -32, 73, -44
405313695762798, 331513691312171, 469899352572691 @ -76, -53, -192
264274789429763, 214123367670771, 267561834405422 @ -41, 152, -196
392234648632067, 352180060054370, 288984927283773 @ -53, -77, 51
320756527553408, 193940355797151, 270097818905479 @ 69, 117, 106
