Card   1: 87 75 80 68 71 57 58 59 70 48 | 56 67 75 76 31 49 48 22 43 68 98 86 70 91 27 46  4 87 72 37 71 58 29 79 80
Card   2: 95 97 90 91 79 71 60 87 46 80 | 28 90 55 87 82 34 44 96 77 15 22 63 31 33  5 99 36 91 17 10 64 59 68 37 13
Card   3: 23 73 50 78 93 30 56 10  8 64 | 61 48 87 46 12 75 92 37 62 45 24 81 79 55 76 82  9  1 16 72 13 27 41 86 19
Card   4: 16 50 13 24 94 27 74 58 15 53 | 58 53 20 57 69 28 47  2 41  4 66 61 15 44 24 68 50 74 86 45 36 73 43 27 91
Card   5: 39 53 29 10 84 22 83  4  5 32 | 50 28 45  5  6 65 18  7 92 83  3 55 81 26 80 39 44 60 90 37 91 36 54 14 74
Card   6: 84 12 96 93 72 97 91 76  7 82 | 85 15 29 33 37 60 14 30 63 73 38 62 77 44 86 39 51  2 99 75 70 36 32 98 78
Card   7: 78 12  1 50 48 62 33  8 83 99 | 12 50 79 48 59 81 26 14  5 11 37  8 36 91 95 20 46 44 21 32 58 93 53 90 54
Card   8: 55 58  8 36 16 23 88 73 45 65 | 19 10 34 64 52 27 75 22 33 58 74 45 16 11 63 56 12 14  8 25 59  4 95 47 78
Card   9: 95 14 83 17  7 69 44 31 45 37 |  2 69 81 39 76 86 29 73 72 32 67  5  9 16 95 90 36 27 88 55 61  6 37 79  1
Card  10: 24 83 98 76 87  6 32 59  4 96 | 54  5 68 85 76 50 60 33 58 32 88 61 27 55 90 65 93 13 53 29 44 15  6 45 24
Card  11: 55 92 57 65 44 21 49  8 13 48 | 17 44 79 11 65 50 46 14 40 69 31 62 55 86 36 60 30 52 25 93 41 56 48 99 51
Card  12: 14 93 52 89 35 42 13 22 76 26 | 14  5 46 80 22 39  1 67 43 31 78 87 68 95 90 83 96 71 74 29 15 88 36 11 76
Card  13: 55 78 95 85 43 53 80 12  1 59 | 42 60 32 70 10 91 94 88 68 99 45 71 54 93 76 52 44 30  2 18 72 90  9  7 63
Card  14:  6 44 46 59 91 60 47 26 12 17 | 35 52 36  5 18 30 63 79 75 55 45 99 84 81 71 34 48 24 14 70 11 69  1  4 77
Card  15: 29 17 94 87 84  3 96 33  5 48 | 65 25 20 45 85  1 43 37 14 11 69 81  6 92 93 46  8 23 31  2 30 61 22 79 71
Card  16: 73 81 13 23 61 35 49 48 99  5 | 10 69 22 40 73 29 61 23 13 99 26  7 39 70  5 56 88 46 49 81 68 25 35 48 14
Card  17: 64 47  6 10 16 74 26 95 28 73 | 86 27 47  6 68 49 64 48 74 26 16 28 20 99 61 10 12 25 73 88 70 95 67  3 76
Card  18:  1 29 86 72 65 52 67 64 68 79 |  5 88 77 52 18 31 67 41 37 55 68 65 39 22 72 97 23 64 34 29 48  1 79 49 86
Card  19: 71 33 43 91 59 35 69 18 78  9 | 86 55 54 59 91 36 45  9 94 43 39 11 44  1 93 23 66 97  4 62 71 98 18 31 28
Card  20: 72 86 59  6 85  1 74 25 87 20 | 21 14  6 39  4 54 37  2 61 83 82 59 10 67 19 50 12 16 51 55  1  5 45 98 73
Card  21: 35 39 40 21 19 87 58 49 78 32 | 28 91 27 45 44 25 11 35 84 26 98 87 14 97 93 70 55 19 34 16  8  7 67 54  5
Card  22: 87 30  6  9 73 47 29  7 33 63 | 87 80 21  3 63 38 14  7 20  9 73 31 33 29 11 30 22 68 57 54 43 42 47 34  6
Card  23: 51 61 36 99 86 88 21  6 30 74 | 30 42 99 86 20 44 74 64 72 67 81 93 79 51  5 48 21 75 36 23  6 60  4 66 88
Card  24: 96 21 44 42 57 34 59 45 58  2 |  6 81 92 13 66 98 47 73 26 10 84 62 93 49 57 35 90 27 75 19 52  1 37 32 85
Card  25: 17 55 53 49 25 59 71 33 35 11 | 55 82 92 74 29 17 46 40  2 26 25 32 96 49 11 35 53  3 87 59 71 33 73 36 38
Card  26: 33 85 26 21 13 51 73 76 20  7 | 85 53 42 21 31 76 33 97 71 73 20 90 13 52 95 98 93 99 11 32 26 51 24 37  7
Card  27: 62 39 22 67 69  5 89  1 36 34 | 10 52 68 95 32 82 22 94 21 29  5 45 87 51 18  4 15 19 59 55 11 78 60 63 84
Card  28: 65 31 58 70  2 49 46 14 72 11 | 24 95 11 14 27 22 38 65 15 35 36 18 59 49  6 70 69 62 46 58 60 34 92 72  2
Card  29: 78  6 94 55 65 17 97 30 66 33 | 80 32 56 48 49 16 88 61 57 20 37 75 51 58 86 29 42 39 41 60 62 69 10 81 24
Card  30: 72 33 93  5 58 92 10 90 29 20 | 77 73 41 42 67 17 24 28 23 69 27 43 80 49 75 74  2  3 21 26 76 32 48 30  4
Card  31:  9 93 77 42 49 71 36 98 46  1 | 68 39 10 32 36  7 47 55 95 33 48 56 31 61 98 40 50 81 94 77 45 12 16  6 35
Card  32: 35 54 65 19 62 37 63 68 17 47 | 14 20 65 27 84 48 85 56 64 37 51 81 11 52 63 40 93 15 92 90 19 35 43 68  7
Card  33: 21 80 78 56 29 65  6 12 57 22 | 51 61  7  1 19 22 77 62 78 54 58 29 89 97 34 83 56 57 11 98 73  6 17 16 70
Card  34: 57 83 56 87 58 68 46 86 78 77 | 98 58 46 51 14  1 17 60 11 13  5 49 56 96 19 15 99 28 62 38  9 40 57 92 22
Card  35: 34 29 33 85 95  9 47 11 39 25 | 49 91 61 13 99 84 80 96 77 82 97 59 20 30  4 65 70 74  5 37 41 81 75 93 48
Card  36: 42 30 69 88 84 90 58 26  2 47 | 98 14  3 30 56 20 49 83 29 48 46 34 99 51 12 61 92  1 55 60 70 53 75 52 27
Card  37:  7 70 87 71 25 85 50 86 77 72 | 94 23 90 73 52 79 31 30 49 71  8 26 88 38 42  5 81 82 69 51 63 35 80 22 19
