76886,29381,50578
34204,96815,356
54102,96761,36397
96820,24406,52876
88149,84209,74584
35107,23193,94726
68611,27312,60706
50479,4953,16800
14195,2809,92292
92554,9375,29296
11219,45874,81716
9955,6496,57598
88325,32019,81266
24722,63830,12691
10492,75212,26547
46832,70035,94331
94978,74309,99045
78487,9408,63250
6096,97740,5395
41311,68644,78553
49525,99175,5747
71339,99978,87369
65934,89082,80094
29289,26464,53921
69939,56657,52621
67535,4293,16723
92737,91761,73807
8184,57642,40526
25534,31382,44307
9492,48367,20690
49633,11259,65026
97683,89239,11186
74589,3678,90542
30693,45506,52123
92509,73814,28832
74328,24717,50877
82974,6799,94466
96109,95366,2334
16832,68867,81882
8850,32991,69888
2733,95081,76790
12693,73467,57751
38146,47993,73458
94169,8,17030
71772,92511,78799
93298,44356,80877
7481,85555,47401
89034,66913,6568
22921,43030,91605
39407,35164,14242
67166,47483,94274
38567,60936,6718
98496,68059,17009
82784,82644,2198
29878,16919,70905
6929,35469,18211
1554,80651,17808
25286,82697,83252
87746,96805,97693
49353,6140,8167
59834,54031,77056
75177,4867,58725
51629,37400,51006
8906,55188,21411
76460,81888,69471
63595,98903,42919
78894,13584,57572
87164,80770,12298
22097,52566,90497
56233,91200,38596
65484,24483,15121
64989,67987,73611
26862,35573,74193
53386,6035,19708
72411,83193,14541
38746,29858,63390
33130,9835,18510
671,22026,93492
94189,63474,15433
55458,8283,78531
9537,54567,82339
47707,95263,25731
96630,34320,31933
35906,84322,8299
25359,48157,3160
81835,15850,58148
91922,32947,57902
43698,44957,38738
76807,43047,35771
97496,68344,4495
41342,47441,99622
8778,8904,17423
12951,87410,33565
12656,4359,53018
90265,27144,75799
31007,69871,28602
59650,71731,84507
14944,8283,16221
29567,41618,85364
50751,62838,53021
2180,81689,98414
69826,7391,84525
23807,27183,65958
73553,62167,80480
88772,21816,92582
88737,93223,56499
54981,7759,63427
11662,42625,22339
22067,37952,85162
79031,41410,24594
54622,47852,84595
60501,61939,6002
37938,53859,24118
51755,36996,99025
63835,88615,2360
59329,91491,74143
42253,58438,21782
74280,87758,2807
95761,61120,49984
5575,38197,12675
7106,37586,47147
29148,80873,84476
27083,47317,67623
57445,72424,77889
76755,58152,39535
89064,61506,80606
11782,31134,21674
91900,34122,23829
18142,42789,36245
81585,74094,43336
62211,17073,90684
103,10684,64629
75930,52527,64598
91021,58121,97318
49003,88596,20160
31967,17676,66998
72906,39997,95308
4658,65553,40587
24924,84986,73775
19936,17703,8128
84390,88624,22630
35199,13534,82610
19787,24814,17029
60859,57509,62377
22431,92524,59057
50944,85816,64608
98317,32503,39119
47835,11070,83328
90053,5815,63534
83764,93290,19113
33590,97537,63604
71682,82874,18854
16730,38795,65904
6257,27204,51529
61622,34056,92833
47654,45040,57370
8676,58856,83702
22102,28575,12508
32856,11930,35954
27148,71900,30375
47438,65458,25799
75824,30214,39464
21816,3820,57019
79076,62571,45815
39379,17648,39871
92786,40802,84264
54050,70507,55892
40807,45116,60034
60044,57910,34484
19929,56871,84677
39576,78262,28729
55997,73347,3550
89655,73628,12546
69773,42266,44506
93178,75923,1193
15230,20483,3276
98875,85196,10308
21530,75882,43687
76075,29305,51551
66296,52598,16017
3192,32928,87556
5411,68023,29156
11142,19681,43741
52682,12480,34969
56341,31072,51318
70883,526,31670
28977,19393,34468
1779,42711,12007
30596,60816,81848
2496,83742,96522
67065,98655,51695
16417,30937,67907
28080,22160,28823
13955,8269,8249
14793,35682,23469
14376,23713,34176
61734,60875,43993
92620,25647,73923
17467,69282,60985
17701,55298,82346
27715,27676,48931
32642,30888,16850
90406,75777,24050
66322,99685,77761
88853,25494,11173
40422,62029,24712
65714,76780,62582
35026,26942,27772
88859,13114,25801
5360,35674,13272
89052,2101,87284
78096,25970,41693
92043,81953,2563
41083,20936,70233
89678,83539,64942
37681,15910,48911
77803,22537,19390
36517,21878,62986
75489,35967,8605
98279,76749,29311
32835,80267,74014
35615,5724,49789
15799,67038,75937
85957,79060,48287
57988,40825,96483
42691,32047,64869
1317,25827,46689
24325,24179,88399
7816,25347,50865
34887,19070,34567
45023,63195,5270
14749,34184,67233
86935,48226,76582
42037,25288,71706
64584,96883,50071
92338,68670,92011
52173,46756,94464
19311,36852,28815
70131,96003,17022
76115,29003,46281
87715,24992,23951
11498,78689,24763
47817,71431,81094
27543,25305,32800
92905,24421,43650
66291,15967,93174
54930,58632,62451
19658,85262,14244
20339,93651,43724
53859,74296,1044
25505,40749,50808
4998,33509,34078
33198,48143,4917
73629,94839,95537
27095,46239,53020
83644,642,33388
53479,91978,87627
95851,70284,24147
12412,16258,70843
3066,82595,44437
79783,50916,89884
33414,72643,17986
89449,51040,92334
5284,37554,31328
95724,63423,47536
2252,30091,22478
33589,70994,43252
36850,37723,61337
94677,70737,42029
24824,44605,16536
21562,952,5078
26352,85148,91308
80728,49213,26053
67447,62140,40073
82034,27294,53758
35544,7044,94800
78733,52411,32930
62991,50915,43412
49401,71842,99823
58008,30599,95857
76992,79548,65300
67740,25106,2571
9697,56016,7196
41111,33354,37567
38368,19771,3087
98131,42667,50582
80731,62318,42344
80086,60062,2462
34702,49698,48068
25895,95615,28718
95586,61269,80504
91138,92637,95309
48960,35515,81960
85877,83249,20277
79152,49794,82571
66289,64728,94325
12307,83585,79486
99504,52706,11923
83171,29950,95639
35086,52759,45137
66543,79366,2413
17147,25753,37797
5393,56089,17457
56926,18899,82163
62968,73172,37146
86623,29362,15139
83998,53983,75384
78325,63573,7097
78481,94137,1431
13170,63585,28144
67966,369,83560
58521,93437,75040
79944,67439,76551
62366,81510,71593
97887,77567,67346
76831,69576,50097
34413,52235,53893
94158,10197,25369
37872,40469,45967
29741,57085,6782
11784,22690,69597
98913,719,4605
17339,55831,86372
34070,5082,8053
77773,56570,31508
29774,81860,62764
29017,73588,32223
15160,91677,69760
29381,35846,78765
7061,82112,22461
85436,42251,49931
52048,35089,83318
86566,73126,8869
76163,34931,63154
27380,84272,51535
12330,5216,70109
57547,64066,29296
69917,53651,8870
62599,50021,64688
60922,42662,62628
29808,97641,52705
97789,45766,71509
67645,91378,40316
3380,69011,77473
73638,87698,35374
18781,76891,15888
27907,57266,65589
95736,35562,65784
53214,85871,28987
62568,17762,6979
6158,56333,85435
50080,31798,98365
25167,99000,64633
27487,42773,74581
95529,47577,11185
5022,51250,89215
24185,25866,45376
86108,55431,18189
23496,72541,96148
40835,74737,55050
26941,96488,87843
74652,8688,68823
65949,95800,769
63945,80102,95319
92033,1466,13898
84852,60480,4239
8833,60170,24698
89518,66658,1552
66400,33971,57654
43284,55243,69666
55203,24355,74
24599,1747,34114
54650,88917,70272
78941,79093,14344
31456,41845,73943
19339,58629,54992
73240,14446,91596
94098,82622,1704
53265,67527,42847
67691,38958,66279
67429,43038,22459
63403,63354,61419
92424,72873,78148
20110,21183,63906
96201,32037,261
62656,17331,8577
54994,90331,15563
23607,77325,86045
84291,65814,21319
