7,0
59,45
15,9
60,37
61,43
4,39
7,9
62,51
21,21
9,19
27,2
17,41
1,38
68,19
3,11
1,4
63,60
55,27
67,18
14,11
9,7
7,19
2,51
6,33
3,14
26,13
5,46
21,5
15,5
15,41
18,21
13,7
6,49
67,27
21,29
5,41
65,47
63,56
21,4
12,49
5,9
53,57
5,42
61,59
7,21
7,20
3,9
25,40
3,37
1,37
40,59
61,58
66,59
65,46
19,45
51,60
65,62
15,3
67,69
7,17
67,56
30,11
27,1
14,15
3,31
2,27
18,17
3,46
67,32
1,31
67,54
59,54
63,19
69,29
8,5
13,23
6,7
21,24
17,43
14,1
21,40
14,33
9,16
1,13
3,22
61,39
67,55
63,69
8,45
17,37
69,45
9,37
61,34
23,9
24,35
5,13
3,4
63,41
69,24
3,29
61,45
15,43
61,23
10,7
4,7
7,36
25,1
55,54
61,49
19,40
6,11
11,35
47,19
10,43
65,52
67,35
25,11
65,27
61,33
53,61
65,48
19,21
47,68
53,66
6,45
9,4
65,65
69,59
3,33
5,18
68,43
57,21
13,33
33,8
60,49
65,23
17,49
69,43
21,7
53,27
56,33
16,43
55,51
52,37
19,29
11,2
63,59
27,0
13,13
47,60
23,1
28,3
61,26
61,51
57,48
3,21
4,37
60,43
52,61
15,6
18,11
14,31
11,34
18,7
21,8
11,40
17,21
7,45
19,13
7,35
5,5
7,23
68,59
19,28
69,55
57,70
51,66
11,15
59,46
56,45
66,23
13,31
2,41
63,31
19,12
69,23
63,44
63,42
69,48
59,42
67,50
69,53
23,47
67,37
61,60
62,31
69,69
63,64
4,29
15,11
11,7
22,47
21,23
59,21
66,67
1,11
0,53
7,56
5,21
57,41
3,13
5,17
5,1
65,43
59,68
21,35
70,41
13,41
68,41
1,29
20,45
61,30
21,19
1,50
12,23
15,51
19,1
16,31
9,1
19,3
13,2
3,1
5,58
3,44
50,23
66,43
64,25
53,53
3,43
1,1
55,59
6,39
49,51
11,31
7,8
67,46
60,67
54,55
55,69
13,55
5,45
14,19
59,61
5,52
59,52
5,27
66,41
59,20
57,69
63,54
5,16
17,5
53,29
20,19
9,21
67,19
62,35
9,42
5,35
65,28
2,29
11,17
17,28
51,57
8,33
1,14
55,47
17,40
69,54
64,65
14,5
67,41
69,52
66,21
58,61
49,52
21,3
17,15
3,52
69,49
7,49
60,31
3,35
68,49
65,19
27,42
11,29
3,17
15,29
19,7
15,15
1,10
61,65
59,67
11,3
15,24
62,29
61,57
7,47
5,44
69,25
3,59
21,13
63,61
47,58
63,37
63,23
15,22
12,37
19,30
8,29
63,52
9,31
17,13
13,3
27,10
31,8
66,35
29,9
69,67
17,47
53,54
54,61
65,38
7,22
15,35
10,49
21,1
21,50
57,54
16,13
2,19
59,35
17,48
50,53
69,65
15,53
63,57
54,65
66,31
57,53
1,36
51,51
55,52
23,41
61,53
2,31
8,21
2,49
11,30
6,13
55,58
23,8
3,32
69,61
65,31
7,27
17,25
20,9
19,11
69,34
61,29
51,63
15,12
69,26
70,69
9,18
58,43
19,25
15,16
47,61
63,24
19,2
60,21
69,51
7,4
7,41
13,45
33,5
21,36
50,59
60,63
22,11
56,57
27,11
13,1
16,35
24,17
39,4
63,25
6,35
1,22
63,49
61,63
12,17
61,19
62,39
5,24
57,63
3,48
59,53
61,27
21,37
14,47
39,2
21,45
25,17
12,45
69,22
1,49
21,25
65,67
12,11
53,59
59,31
21,26
19,32
16,51
7,3
57,67
22,23
13,11
7,54
15,33
60,65
5,40
21,33
63,47
11,27
15,17
3,16
66,45
69,66
21,34
63,55
1,39
27,30
68,61
21,46
68,69
31,5
63,45
1,19
27,13
11,6
21,39
26,5
62,45
69,27
63,58
11,44
2,59
1,34
69,28
13,21
14,37
13,5
11,4
11,49
55,68
65,59
10,19
69,39
10,31
45,68
10,1
69,20
48,53
8,43
59,59
17,4
69,19
11,37
9,38
1,45
61,31
51,53
9,5
9,14
65,18
54,51
57,68
25,3
65,56
59,41
3,49
67,67
59,49
6,27
9,28
69,63
51,61
13,26
67,33
1,35
4,1
5,11
57,56
65,26
57,43
12,47
59,32
58,37
64,23
65,25
69,31
3,47
69,35
9,43
63,63
66,53
49,58
9,13
3,5
9,35
1,51
57,18
65,33
68,25
30,3
49,63
16,7
65,45
23,36
56,27
12,15
67,34
67,68
64,33
15,26
55,67
9,9
3,19
62,67
3,6
3,7
65,40
59,58
59,36
59,29
22,31
25,29
57,60
69,57
24,3
69,56
5,23
67,61
17,46
27,37
59,26
23,5
66,65
56,59
15,45
21,42
21,44
2,35
18,3
